"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLNGTotal_10";"ImportsViaTheUnitedStates_11";"ImportsViaNorway_12";"ImportsViaRussia_13";"ImportsViaAfrica_14";"ImportsViaAsia_15";"ImportsViaAmericaExcludingUS_16";"ImportsViaOtherUnknown_17";"ExportsOfGaseousNaturalGasTotal_18";"ExportsToNorway_19";"ExportsToGermany_20";"ExportsToBelgium_21";"ExportsToUnitedKingdom_22";"ExportsToDenmark_23";"ExportsOfLiquefiedNaturalGasLNG_24";"Bunkers_25";"StockChange_26";"TotalConsumption_27";"TotalViaTheMainGrid_28";"ElectricityPowerPlants_29";"OtherConsumers_30";"ViaRegionalGrids_31";"ConsumptionByProductionAndTransport_32";"ClosingStock_33";"ClosingStockGaseousGas_34";"ClosingStockLiquefiedNaturalGas_35";"Flaring_36";"StorageCapacityTotal_37";"StorageCapacityGaseousGas_38";"StorageCapacityLiquefiedNaturalGas_39"
"0";"1946JJ00";"       0";"       0";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"1";"1947JJ00";"       1";"       1";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"2";"1948JJ00";"       5";"       5";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"3";"1949JJ00";"       7";"       7";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"4";"1950JJ00";"       5";"       5";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"5";"1951JJ00";"       9";"       9";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"";"";"       .";"";"";""
"6";"1952JJ00";"      15";"      15";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"";"";"       .";"";"";""
"7";"1953JJ00";"      24";"      24";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"";"";"       .";"";"";""
"8";"1954JJ00";"      91";"      91";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       6";"       .";"       .";"";"";"       .";"";"";""
"9";"1955JJ00";"     128";"     128";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      19";"       .";"       .";"";"";"       .";"";"";""
"10";"1956JJ00";"     143";"     143";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      38";"       .";"       .";"";"";"       .";"";"";""
"11";"1957JJ00";"     137";"     137";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      52";"       .";"       .";"";"";"       .";"";"";""
"12";"1958JJ00";"     173";"     173";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      84";"       .";"       .";"";"";"       .";"";"";""
"13";"1959JJ00";"     215";"     215";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     113";"       .";"       .";"";"";"       .";"";"";""
"14";"1960JJ00";"     312";"     312";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     158";"       .";"       .";"";"";"       .";"";"";""
"15";"1961JJ00";"     426";"     426";"       .";"";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     165";"       .";"       .";"";"";"       .";"";"";""
