"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"0";"1946JJ00";"       0";"       0";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"1";"1947JJ00";"       1";"       1";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"2";"1948JJ00";"       5";"       5";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"3";"1949JJ00";"       7";"       7";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"4";"1950JJ00";"       5";"       5";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"";"";"       .";"";"";""
"5";"1951JJ00";"       9";"       9";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"";"";"       .";"";"";""
"6";"1952JJ00";"      15";"      15";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"";"";"       .";"";"";""
"7";"1953JJ00";"      24";"      24";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"";"";"       .";"";"";""
"8";"1954JJ00";"      91";"      91";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"       6";"       .";"       .";"";"";"       .";"";"";""
"9";"1955JJ00";"     128";"     128";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      19";"       .";"       .";"";"";"       .";"";"";""
"10";"1956JJ00";"     143";"     143";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      38";"       .";"       .";"";"";"       .";"";"";""
"11";"1957JJ00";"     137";"     137";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      52";"       .";"       .";"";"";"       .";"";"";""
"12";"1958JJ00";"     173";"     173";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"      84";"       .";"       .";"";"";"       .";"";"";""
"13";"1959JJ00";"     215";"     215";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     113";"       .";"       .";"";"";"       .";"";"";""
"14";"1960JJ00";"     312";"     312";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     158";"       .";"       .";"";"";"       .";"";"";""
"15";"1961JJ00";"     426";"     426";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     165";"       .";"       .";"";"";"       .";"";"";""
"16";"1962JJ00";"     524";"     524";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     178";"       .";"       .";"";"";"       .";"";"";""
"17";"1963JJ00";"     619";"     619";"       .";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     224";"       .";"       .";"";"";"       .";"";"";""
"18";"1964JJ00";"     857";"     869";"       .";"";"";"";"";"";"";"";"      12";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     327";"       .";"       .";"";"";"       .";"";"";""
"19";"1965JJ00";"    1702";"    1738";"       .";"";"";"";"";"";"";"";"      36";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"     735";"       .";"       .";"";"";"       .";"";"";""
"20";"1966JJ00";"    3262";"    3405";"       .";"";"";"";"";"";"";"";"     143";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"    1580";"       .";"       .";"";"";"       .";"";"";""
"21";"1967JJ00";"    5739";"    7108";"       .";"";"";"";"";"";"";"";"    1369";"";"";"";"";"";"";"       .";"";"       .";"       .";"       .";"       .";"    2927";"       .";"       .";"";"";"       .";"";"";""
