"ID";"DutchEconomy";"Periods";"TotalCO2_1";"CO2ExclBiomass_2";"CO2Biomass_3";"N2O_4";"CH4_5";"GreenhouseGasEquivalents_6";"NOx_7";"SO2_8";"NH3_9";"AcidificationEquivalents_10";"CFK12Equivalents_11";"CO_12";"NMVOC_13";"PM10_14"
"0";"B000579";"1990JJ00";"  179680";"  173604";"  6075.4";"    58.9";"  1274.0";"  238279";"   786.8";"   255.5";"   344.6";"    45.3";"  6194.4";"  1194.1";"   622.0";"    84.9"
"1";"B000579";"1991JJ00";"  188714";"  182485";"  6228.9";"    59.6";"  1290.0";"  247756";"   769.8";"   220.2";"   349.1";"    44.1";"  5109.8";"  1160.9";"   575.3";"    80.9"
"2";"B000579";"1992JJ00";"  189299";"  183070";"  6228.6";"    60.5";"  1274.0";"  249169";"   769.9";"   219.3";"   291.2";"    40.7";"  4025.2";"  1154.0";"   542.6";"    77.8"
"3";"B000579";"1993JJ00";"  190159";"  183679";"  6479.8";"    61.5";"  1256.0";"  250502";"   755.5";"   213.9";"   305.4";"    41.0";"  2940.6";"  1103.8";"   510.2";"    73.9"
"4";"B000579";"1994JJ00";"  192668";"  186276";"  6391.9";"    60.0";"  1214.9";"  253263";"   734.5";"   204.7";"   273.0";"    38.4";"  1856.0";"  1030.6";"   479.2";"    70.4"
"5";"B000579";"1995JJ00";"  194996";"  188427";"  6569.4";"    59.6";"  1185.7";"  252635";"   717.6";"   203.4";"   217.8";"    34.7";"   771.4";"   955.3";"   448.2";"    68.4"
"6";"B000579";"1996JJ00";"  204391";"  197171";"  7220.2";"    59.8";"  1157.7";"  265058";"   705.9";"   196.4";"   175.6";"    31.8";"   527.4";"   930.8";"   427.2";"    64.1"
"7";"B000579";"1997JJ00";"  200066";"  192431";"  7635.3";"    58.9";"  1092.4";"  259523";"   687.7";"   184.4";"   172.6";"    30.8";"   404.5";"   886.8";"   397.6";"    61.7"
"8";"B000579";"1998JJ00";"  201643";"  193831";"  7812.1";"    57.0";"  1063.1";"  260509";"   674.7";"   183.8";"   159.7";"    29.8";"   282.1";"   849.9";"   380.7";"    60.2"
"9";"B000579";"1999JJ00";"  198749";"  190712";"  8037.6";"    54.8";"  1012.7";"  249637";"   697.0";"   188.9";"   155.5";"    30.2";"   273.4";"   825.8";"   366.5";"    61.7"
