"ID";"Perioden";"TotaalAanbod_1";"WinningUitDeBodem_2";"ProductieUitAndereBronnen_3";"InvoerVanGasvormigAardgasTotaal_4";"InvoerViaNoorwegen_5";"InvoerViaDuitsland_6";"InvoerViaBelgie_7";"InvoerViaVerenigdKoninkrijk_8";"InvoerViaDenemarken_9";"InvoerVloeibaarAardgasLNGTotaal_10";"InvoerUitVerenigdeStaten_11";"InvoerUitNoorwegen_12";"InvoerUitRusland_13";"InvoerUitAfrika_14";"InvoerUitAzie_15";"InvoerUitAmerikaExclDeVS_16";"InvoerUitOverigOnbekend_17";"UitvoerVanGasvormigAardgasTotaal_18";"UitvoerNaarDuitsland_19";"UitvoerNaarBelgie_20";"UitvoerNaarVerenigdKoninkrijk_21";"UitvoerVanVloeibaarAardgasLNG_22";"Bunkering_23";"Voorraadmutatie_24";"TotaalVerbruik_25";"Energiebedrijven_26";"VerbruikBijWinningEnAardgastransport_27";"Eindvoorraad_28";"EindvoorraadGasvormigAardgas_29";"EindvoorraadVloeibaarAardgasLNG_30";"Fakkels_31";"OpslagcapaciteitTotaal_32";"OpslagcapaciteitGasvormig_33";"OpslagcapaciteitVloeibaar_34"
"0";"2015MM01";"    4981";"    6801";"       8";"    2306";"    1138";"     823";"     123";"     189";"      32";"      96";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6551";"    3323";"    2271";"     957";"      10";"       0";"    2332";"    4981";"     818";"      85";"       .";"       .";"       .";"       5";"   15860";"   15444";"     416"
"1";"2015MM02";"    4507";"    4638";"      11";"    2745";"    1344";"    1033";"     121";"     201";"      45";"     282";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6234";"    3440";"    2072";"     723";"     195";"       0";"    3260";"    4507";"     884";"      78";"       .";"       .";"       .";"       3";"   15860";"   15444";"     416"
"2";"2015MM03";"    4103";"    4166";"      12";"    3097";"    1625";"    1011";"     201";"     243";"      17";"     275";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4826";"    2528";"    1665";"     633";"     104";"       0";"    1484";"    4103";"     738";"      81";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
"3";"2015KW01";"   13591";"   15605";"      31";"    8148";"    4108";"    2867";"     446";"     634";"      94";"     652";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   17611";"    9291";"    6008";"    2313";"     310";"       0";"    7077";"   13591";"    2440";"     244";"       .";"       .";"       .";"      13";"   15860";"   15444";"     416"
"4";"2015MM04";"    2925";"    3960";"      11";"    3215";"    1441";"    1253";"     342";"     135";"      44";"     309";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3505";"    2284";"    1165";"      56";"     109";"       0";"    -956";"    2925";"     536";"      71";"       .";"       .";"       .";"       3";"   15860";"   15444";"     416"
"5";"2015MM05";"    2352";"    4555";"      10";"    3248";"    1611";"    1121";"     245";"     238";"      33";"      92";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3119";"    2159";"     928";"      32";"     126";"       0";"   -2308";"    2352";"     445";"      78";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
"6";"2015MM06";"    2076";"    4241";"       9";"    2743";"    1514";"     909";"     152";"     121";"      47";"     197";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3273";"    1988";"    1023";"     262";"      60";"       0";"   -1781";"    2076";"     477";"      61";"       .";"       .";"       .";"       5";"   15860";"   15444";"     416"
"7";"2015KW02";"    7354";"   12756";"      31";"    9206";"    4566";"    3283";"     739";"     493";"     124";"     598";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    9897";"    6431";"    3116";"     350";"     294";"       0";"   -5045";"    7354";"    1458";"     210";"       .";"       .";"       .";"      13";"   15860";"   15444";"     416"
"8";"2015MM07";"    2068";"    4425";"      11";"    3314";"    1900";"     857";"     336";"     177";"      45";"      97";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3274";"    2244";"    1017";"      14";"     203";"       0";"   -2301";"    2068";"     601";"      67";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
"9";"2015MM08";"    1992";"    3814";"      10";"    3186";"    1668";"     742";"     500";"     230";"      47";"     236";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3207";"    2370";"     837";"       0";"     161";"       0";"   -1886";"    1992";"     569";"      69";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
